iter	RMSE
0	37.77139781
200	25.09908643
400	21.78466002
600	20.53228115
800	19.83076345
1000	19.31010119
1200	18.91278713
1400	18.56606067
1600	18.24785384
1800	17.97241788
2000	17.71194811
2200	17.46666291
2400	17.24726235
2600	17.05820413
2800	16.89382468
3000	16.73612887
3200	16.59799622
3400	16.4502451
3600	16.31986254
